# sensor:magnetometer
# Requested Sample Rate: 80 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:09:11:213,-23.40,4.93,-44.68,50.67
12:09:11:223,-23.83,4.51,-44.69,50.84
12:09:11:233,-23.56,4.53,-45.64,51.56
12:09:11:253,-23.61,5.06,-45.84,51.81
12:09:11:263,-24.33,4.37,-45.12,51.44
12:09:11:273,-23.42,4.82,-45.21,51.15
12:09:11:283,-23.44,4.82,-45.64,51.53
12:09:11:303,-23.63,4.53,-44.90,50.94
12:09:11:313,-23.16,5.59,-44.66,50.62
12:09:11:323,-24.02,4.57,-45.01,51.22
12:09:11:333,-23.62,4.72,-44.90,50.95
12:09:11:353,-23.62,4.97,-45.95,51.90
12:09:11:363,-23.59,5.16,-45.41,51.43
12:09:11:373,-23.68,5.17,-44.88,51.01
12:09:11:383,-23.80,4.87,-45.20,51.32
12:09:11:403,-23.23,4.84,-45.01,50.88
12:09:11:413,-23.81,4.53,-44.26,50.46
12:09:11:423,-23.51,5.00,-45.20,51.19
12:09:11:433,-23.80,4.87,-45.31,51.41
12:09:11:453,-23.31,4.84,-44.79,50.72
12:09:11:463,-23.80,4.79,-44.68,50.85
12:09:11:473,-23.52,4.90,-45.31,51.29
12:09:11:483,-24.33,4.36,-45.43,51.72
12:09:11:503,-23.94,4.57,-45.64,51.74
12:09:11:513,-23.68,5.33,-45.62,51.67
12:09:11:523,-23.51,4.90,-45.10,51.10
12:09:11:533,-23.33,4.75,-44.79,50.72
12:09:11:553,-24.02,4.57,-45.01,51.22
12:09:11:563,-23.40,5.10,-45.31,51.25
12:09:11:573,-23.52,4.90,-45.31,51.29
12:09:11:583,-23.29,5.12,-44.68,50.64
12:09:11:603,-24.38,4.90,-44.99,51.41
12:09:11:613,-23.45,5.65,-44.97,51.03
12:09:11:623,-23.94,4.49,-45.53,51.63
12:09:11:633,-23.68,5.16,-44.98,51.10
12:09:11:653,-23.30,5.28,-45.52,51.41
12:09:11:663,-23.33,4.92,-45.31,51.20
12:09:11:673,-23.77,4.23,-45.54,51.54
12:09:11:683,-23.62,4.88,-45.63,51.61
12:09:11:703,-23.67,5.26,-44.77,50.92
12:09:11:713,-23.34,4.65,-44.90,50.81
12:09:11:723,-24.11,4.75,-45.21,51.46
12:09:11:733,-23.62,4.71,-45.01,51.04
12:09:11:753,-23.62,4.98,-45.74,51.72
12:09:11:763,-23.13,5.03,-45.53,51.32
12:09:11:773,-23.57,5.01,-44.04,50.20
12:09:11:783,-23.99,4.94,-45.20,51.41
12:09:11:803,-23.22,4.94,-44.99,50.87
12:09:11:813,-23.62,4.64,-44.47,50.57
12:09:11:823,-24.40,4.55,-44.68,51.11
12:09:11:833,-23.92,4.59,-45.43,51.55
12:09:11:853,-23.30,5.11,-45.10,51.02
12:09:11:863,-23.92,4.50,-45.12,51.26
12:09:11:873,-23.42,4.90,-45.53,51.44
12:09:11:883,-23.80,4.78,-44.99,51.13
12:09:11:903,-23.41,5.18,-45.74,51.64
12:09:11:913,-23.48,5.27,-45.09,51.11
12:09:11:923,-23.73,4.70,-45.32,51.37
12:09:11:933,-23.41,5.09,-45.63,51.54
12:09:11:953,-24.20,4.73,-45.42,51.68
12:09:11:963,-24.20,4.66,-44.90,51.22
