# sensor:magnetometer
# Requested Sample Rate: 75 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:03:33:861,-23.73,5.88,-45.38,51.55
12:03:33:871,-23.59,5.16,-45.41,51.43
12:03:33:891,-23.29,6.56,-45.48,51.52
12:03:33:901,-23.88,5.05,-44.88,51.09
12:03:33:911,-23.58,5.17,-45.20,51.24
12:03:33:931,-23.27,5.58,-45.08,51.03
12:03:33:941,-23.25,5.67,-44.87,50.86
12:03:33:951,-24.18,5.10,-45.63,51.89
12:03:33:971,-23.56,5.62,-45.30,51.37
12:03:33:981,-23.74,5.53,-44.87,51.07
12:03:33:991,-23.45,5.73,-45.29,51.32
12:03:34:011,-23.66,5.53,-45.30,51.40
12:03:34:021,-23.84,5.51,-44.98,51.21
12:03:34:031,-24.03,5.49,-44.97,51.28
12:03:34:063,-23.56,5.37,-44.46,50.60
12:03:34:073,-23.96,5.22,-44.98,51.23
12:03:34:083,-23.85,5.42,-45.08,51.29
12:03:34:093,-23.33,5.93,-45.08,51.10
12:03:34:103,-23.66,5.44,-44.98,51.11
12:03:34:113,-23.62,5.99,-45.07,51.23
12:03:34:123,-23.33,6.20,-45.81,51.78
12:03:34:143,-23.70,6.16,-45.27,51.47
12:03:34:153,-23.64,5.71,-45.40,51.50
12:03:34:163,-23.36,5.56,-45.08,51.08
12:03:34:183,-23.63,5.64,-44.76,50.93
12:03:34:193,-23.52,5.82,-44.86,50.99
12:03:34:203,-23.35,5.75,-45.29,51.28
12:03:34:223,-23.07,5.67,-45.51,51.33
12:03:34:233,-23.67,5.34,-45.30,51.39
12:03:34:243,-23.74,5.70,-45.51,51.64
12:03:34:263,-23.58,6.36,-45.16,51.35
12:03:34:273,-23.69,6.09,-44.53,50.81
12:03:34:283,-23.55,5.64,-45.19,51.27
12:03:34:303,-23.53,5.82,-45.18,51.27
12:03:34:313,-23.05,5.95,-45.29,51.16
12:03:34:323,-23.47,5.54,-45.82,51.78
12:03:34:343,-23.64,5.54,-44.87,51.02
12:03:34:353,-23.75,5.51,-45.30,51.45
12:03:34:363,-23.50,5.09,-45.09,51.10
12:03:34:383,-23.48,5.36,-45.41,51.40
12:03:34:393,-23.67,5.53,-45.51,51.59
12:03:34:403,-23.67,5.53,-45.51,51.59
12:03:34:423,-23.56,5.72,-45.60,51.65
12:03:34:433,-23.77,5.51,-45.71,51.82
12:03:34:443,-23.97,5.22,-45.41,51.61
12:03:34:463,-23.53,6.08,-45.81,51.86
12:03:34:473,-23.25,5.67,-44.98,50.95
12:03:34:483,-23.44,4.72,-45.53,51.43
12:03:34:503,-23.64,5.62,-45.19,51.31
12:03:34:513,-23.62,5.99,-45.29,51.43
12:03:34:523,-23.53,5.90,-45.60,51.66
12:03:34:543,-23.48,5.37,-45.30,51.31
12:03:34:553,-23.58,5.26,-45.52,51.53
12:03:34:563,-23.45,5.73,-45.51,51.51
12:03:34:583,-23.92,5.69,-44.86,51.16
12:03:34:593,-23.85,5.43,-44.76,51.01
12:03:34:603,-23.95,5.42,-44.76,51.05
12:03:34:623,-23.63,5.64,-44.55,50.75
12:03:34:633,-23.28,5.48,-45.19,51.13
12:03:34:643,-23.75,5.43,-45.19,51.34
12:03:34:663,-23.08,5.59,-45.51,51.33
12:03:34:673,-23.44,5.83,-44.86,50.95
12:03:34:683,-23.40,5.10,-45.09,51.06
12:03:34:703,-23.29,5.29,-44.98,50.93
12:03:34:713,-23.80,5.81,-44.33,50.65
12:03:34:723,-23.85,5.33,-44.77,51.01
12:03:34:743,-23.56,5.62,-45.30,51.37
12:03:34:753,-23.66,5.61,-45.62,51.69
12:03:34:763,-23.42,5.84,-44.54,50.66
12:03:34:783,-23.29,5.38,-45.30,51.22
12:03:34:793,-23.18,5.40,-44.77,50.71
12:03:34:803,-23.52,6.00,-45.38,51.47
12:03:34:823,-23.57,5.53,-45.62,51.64
12:03:34:833,-23.56,5.72,-45.60,51.65
12:03:34:843,-23.66,5.44,-44.87,51.02
12:03:34:863,-23.45,5.73,-45.08,51.14
12:03:34:873,-23.39,5.28,-45.09,51.07
12:03:34:883,-24.09,5.77,-44.43,50.87
12:03:34:903,-23.81,5.88,-44.97,51.22
12:03:34:913,-23.05,5.78,-44.76,50.68
12:03:34:923,-23.09,5.40,-45.20,51.05
12:03:34:943,-23.64,5.80,-45.60,51.69
12:03:34:953,-23.27,5.66,-45.30,51.24
12:03:34:963,-23.44,5.75,-44.87,50.95
12:03:34:983,-23.38,5.38,-45.09,51.07
12:03:34:993,-23.67,5.44,-45.30,51.40
12:03:35:003,-23.33,6.10,-45.60,51.59
12:03:35:023,-23.09,6.42,-44.64,50.67
12:03:35:033,-23.83,5.53,-44.44,50.73
12:03:35:043,-23.97,5.31,-45.51,51.71
12:03:35:063,-23.57,5.62,-45.82,51.84
12:03:35:073,-23.96,5.40,-45.51,51.71
12:03:35:083,-23.56,5.54,-45.19,51.26
12:03:35:103,-23.34,5.93,-45.40,51.39
12:03:35:113,-23.39,5.20,-45.09,51.06
12:03:35:123,-23.27,5.58,-44.87,50.85
12:03:35:143,-23.66,5.53,-45.40,51.49
12:03:35:153,-23.68,5.26,-45.09,51.20
12:03:35:163,-23.25,5.93,-45.71,51.63
12:03:35:210,-23.78,5.25,-45.30,51.43
12:03:35:230,-23.74,5.70,-45.51,51.64
12:03:35:240,-22.73,6.44,-45.70,51.45
12:03:35:260,-23.73,5.80,-45.29,51.45
12:03:35:270,-23.66,5.44,-44.98,51.11
12:03:35:280,-23.77,5.60,-45.82,51.92
12:03:35:300,-23.63,5.81,-45.18,51.31
12:03:35:310,-23.66,5.44,-44.76,50.92
12:03:35:320,-23.24,6.03,-45.38,51.34
12:03:35:340,-23.58,5.26,-45.52,51.53
12:03:35:351,-23.74,5.53,-44.76,50.97
12:03:35:360,-23.11,6.23,-44.75,50.75
12:03:35:380,-23.45,5.82,-45.51,51.52
12:03:35:390,-23.59,5.09,-44.99,51.06
12:03:35:401,-23.23,5.94,-44.86,50.86
12:03:35:411,-23.24,6.03,-45.49,51.44
12:03:35:431,-23.95,5.42,-44.87,51.15
12:03:35:441,-23.55,5.72,-45.19,51.28
12:03:35:451,-23.63,5.64,-44.65,50.83
12:03:35:470,-23.66,5.71,-45.60,51.69
12:03:35:480,-24.00,5.95,-45.07,51.40
12:03:35:491,-23.86,5.42,-45.30,51.49
12:03:35:511,-23.53,5.73,-44.65,50.80
12:03:35:521,-24.23,5.56,-45.29,51.66
12:03:35:530,-23.83,5.88,-45.29,51.51
12:03:35:550,-24.03,5.67,-45.51,51.77
12:03:35:561,-23.90,5.88,-44.64,50.98
12:03:35:571,-23.55,5.64,-45.08,51.17
12:03:35:591,-23.24,5.84,-45.18,51.14
12:03:35:601,-23.85,5.42,-45.08,51.29
12:03:35:610,-23.74,5.80,-45.49,51.64
12:03:35:631,-23.74,5.53,-44.76,50.97
12:03:35:641,-24.19,5.77,-44.12,50.64
12:03:35:651,-23.57,5.36,-45.30,51.34
12:03:35:671,-23.64,5.62,-44.97,51.12
12:03:35:680,-23.66,5.36,-44.77,50.92
12:03:35:691,-23.81,5.88,-44.86,51.13
12:03:35:710,-23.64,5.37,-43.92,50.17
12:03:35:721,-23.66,5.36,-44.77,50.92
12:03:35:731,-23.77,5.42,-45.51,51.62
12:03:35:751,-23.79,5.14,-45.73,51.80
12:03:35:761,-24.46,5.16,-45.51,51.92
12:03:35:771,-23.36,5.56,-45.19,51.17
12:03:35:791,-23.75,5.60,-45.51,51.64
12:03:35:800,-23.42,6.19,-45.59,51.63
12:03:35:811,-24.14,5.31,-44.66,51.05
12:03:35:831,-23.55,5.81,-45.71,51.75
12:03:35:841,-23.64,5.71,-45.29,51.41
12:03:35:851,-23.57,5.62,-45.82,51.84
12:03:35:870,-23.57,5.44,-45.30,51.35
12:03:35:881,-23.73,5.71,-44.97,51.17
12:03:35:891,-23.51,5.93,-44.22,50.44
12:03:35:910,-23.79,5.23,-45.73,51.81
12:03:35:921,-24.05,5.49,-45.19,51.48
12:03:35:940,-23.56,5.37,-44.55,50.68
12:03:35:951,-23.18,5.58,-45.73,51.57
12:03:35:961,-23.34,5.93,-45.49,51.47
12:03:35:971,-23.74,5.53,-44.98,51.16
12:03:35:990,-23.75,5.69,-45.92,52.01
12:03:36:000,-23.94,5.69,-45.29,51.54
12:03:36:011,-23.72,5.98,-45.38,51.56
12:03:36:030,-24.11,5.86,-44.86,51.26
12:03:36:040,-23.53,5.99,-45.60,51.67
12:03:36:051,-23.46,5.55,-45.30,51.31
12:03:36:070,-23.80,6.15,-45.49,51.71
12:03:36:081,-23.45,5.73,-45.29,51.32
12:03:36:090,-23.81,5.80,-44.75,51.02
12:03:36:110,-23.57,5.45,-45.19,51.26
12:03:36:120,-23.96,5.48,-46.04,52.19
12:03:36:130,-23.06,5.77,-45.40,51.24
12:03:36:150,-23.40,5.10,-45.09,51.06
12:03:36:161,-23.53,5.82,-44.97,51.09
12:03:36:170,-23.41,6.03,-44.75,50.86
12:03:36:190,-23.67,5.44,-45.30,51.40
12:03:36:201,-23.18,6.76,-45.69,51.68
12:03:36:211,-23.63,5.89,-45.49,51.60
12:03:36:230,-23.66,5.44,-45.09,51.21
12:03:36:240,-23.86,5.32,-45.19,51.38
12:03:36:250,-23.46,5.64,-45.62,51.60
12:03:36:271,-24.05,5.39,-45.19,51.47
12:03:36:281,-23.64,5.62,-44.87,51.03
12:03:36:291,-22.97,5.70,-45.08,50.91
12:03:36:310,-23.46,5.64,-45.40,51.41
12:03:36:320,-23.66,5.61,-45.40,51.50
12:03:36:331,-23.68,5.17,-44.88,51.01
12:03:36:351,-23.38,5.38,-44.77,50.79
12:03:36:361,-23.68,5.25,-45.52,51.58
12:03:36:371,-23.02,6.32,-45.59,51.46
12:03:36:391,-23.74,5.70,-45.40,51.55
12:03:36:401,-23.61,6.00,-44.75,50.95
12:03:36:411,-23.28,5.14,-44.14,50.17
12:03:36:430,-23.35,5.83,-45.60,51.57
12:03:36:440,-23.64,5.54,-44.87,51.02
12:03:36:451,-23.50,6.10,-44.64,50.81
12:03:36:471,-23.58,5.26,-45.30,51.34
12:03:36:481,-23.77,5.33,-45.19,51.33
12:03:36:491,-23.80,5.89,-44.65,50.94
12:03:36:510,-23.94,5.51,-44.65,50.96
12:03:36:521,-23.67,5.61,-45.82,51.88
12:03:36:531,-23.25,5.93,-45.60,51.53
12:03:36:551,-23.92,5.78,-45.08,51.36
12:03:36:561,-23.83,5.70,-45.08,51.31
12:03:36:570,-23.35,5.83,-45.40,51.38
12:03:36:591,-23.75,5.51,-45.30,51.45
12:03:36:600,-23.92,5.77,-45.40,51.64
12:03:36:611,-23.94,5.69,-45.29,51.54
12:03:36:630,-23.55,5.72,-45.08,51.18
12:03:36:640,-23.63,5.72,-44.76,50.94
12:03:36:651,-23.96,5.48,-46.04,52.19
12:03:36:670,-23.30,6.31,-45.07,51.13
12:03:36:680,-23.35,5.83,-45.60,51.57
12:03:36:690,-23.55,5.81,-45.49,51.55
12:03:36:710,-23.70,5.99,-44.64,50.90
12:03:36:720,-23.35,5.83,-45.51,51.48
12:03:36:731,-23.33,6.03,-44.97,51.02
12:03:36:750,-23.84,5.34,-44.24,50.53
12:03:36:760,-23.45,5.56,-44.66,50.75
12:03:36:770,-23.52,6.00,-45.38,51.47
12:03:36:790,-23.78,6.43,-45.37,51.63
12:03:36:800,-23.46,5.64,-45.62,51.60
12:03:36:810,-23.44,5.92,-45.18,51.24
12:03:36:830,-23.44,6.00,-45.81,51.81
12:03:36:840,-23.35,5.75,-45.19,51.19
12:03:36:850,-23.19,5.31,-45.31,51.18
12:03:36:871,-23.70,6.08,-45.18,51.38
12:03:36:881,-23.62,5.90,-45.18,51.32
12:03:36:891,-23.52,5.92,-45.07,51.18
12:03:36:910,-23.47,5.45,-45.19,51.21
12:03:36:921,-24.06,5.31,-45.09,51.38
12:03:36:931,-23.74,5.53,-44.98,51.16
12:03:36:951,-24.05,5.32,-44.76,51.09
12:03:36:960,-23.18,5.49,-45.30,51.18
12:03:36:971,-23.31,5.94,-44.43,50.53
12:03:36:990,-23.77,5.25,-44.98,51.14
12:03:37:001,-24.06,5.38,-45.73,51.95
12:03:37:011,-23.46,5.55,-45.30,51.31
12:03:37:030,-23.86,5.32,-45.41,51.57
12:03:37:040,-23.36,5.73,-45.51,51.47
12:03:37:051,-23.64,5.71,-45.19,51.32
12:03:37:071,-23.56,5.62,-45.40,51.45
12:03:37:080,-24.17,5.20,-45.30,51.60
12:03:37:091,-23.16,5.67,-45.08,50.99
12:03:37:110,-23.58,5.26,-45.30,51.34
12:03:37:121,-24.36,5.17,-45.62,51.97
12:03:37:131,-23.24,5.94,-45.29,51.25
12:03:37:150,-23.24,5.86,-45.08,51.05
12:03:37:160,-24.14,5.48,-45.19,51.53
12:03:37:170,-23.55,5.72,-45.19,51.28
12:03:37:191,-23.63,5.89,-45.40,51.52
12:03:37:201,-23.61,6.17,-45.16,51.33
12:03:37:211,-23.70,5.90,-44.54,50.80
12:03:37:230,-23.58,5.43,-45.93,51.92
12:03:37:241,-23.28,5.48,-45.19,51.13
12:03:37:251,-23.88,5.23,-45.30,51.47
12:03:37:270,-23.53,5.99,-45.70,51.75
12:03:37:280,-23.58,5.17,-45.09,51.15
12:03:37:291,-23.63,5.98,-45.92,51.99
12:03:37:311,-23.53,5.82,-44.97,51.09
12:03:37:321,-23.73,5.71,-45.08,51.26
12:03:37:331,-23.51,6.36,-45.80,51.87
12:03:37:350,-23.66,5.61,-45.40,51.50
12:03:37:361,-23.74,5.78,-45.71,51.83
12:03:37:371,-23.53,5.90,-45.40,51.47
12:03:37:391,-23.23,6.12,-45.29,51.26
12:03:37:400,-23.91,5.70,-44.43,50.78
12:03:37:410,-23.79,5.15,-45.31,51.43
12:03:37:430,-23.17,5.58,-45.19,51.09
12:03:37:441,-23.55,5.55,-44.76,50.88
12:03:37:451,-23.53,5.82,-45.08,51.18
12:03:37:470,-23.59,6.27,-45.16,51.34
12:03:37:481,-23.70,5.99,-44.96,51.18
12:03:37:491,-23.35,5.75,-45.40,51.37
12:03:37:510,-23.79,5.32,-46.15,52.20
12:03:37:521,-23.17,5.75,-45.93,51.76
12:03:37:530,-23.00,6.43,-44.96,50.91
12:03:37:551,-22.77,5.89,-45.29,51.03
12:03:37:560,-23.40,6.28,-45.27,51.35
12:03:37:571,-23.27,5.58,-45.08,51.03
12:03:37:591,-23.28,5.48,-45.30,51.22
12:03:37:600,-23.38,5.55,-45.41,51.37
12:03:37:611,-23.53,5.47,-44.13,50.31
12:03:37:630,-23.02,6.33,-45.27,51.18
12:03:37:641,-23.44,5.75,-44.65,50.76
12:03:37:651,-23.53,5.65,-44.65,50.79
12:03:37:671,-23.75,5.43,-45.19,51.34
12:03:37:681,-23.84,5.61,-44.87,51.12
12:03:37:691,-23.39,6.38,-45.16,51.26
12:03:37:710,-23.47,5.37,-44.87,50.92
12:03:37:720,-23.73,5.80,-45.29,51.45
12:03:37:731,-23.58,5.26,-45.30,51.34
12:03:37:751,-24.23,5.47,-45.08,51.47
12:03:37:761,-23.75,5.60,-45.51,51.64
12:03:37:771,-23.44,6.00,-45.49,51.53
12:03:37:790,-23.24,6.03,-45.49,51.44
12:03:37:801,-23.61,6.00,-44.86,51.05
12:03:37:811,-23.46,5.55,-45.30,51.31
12:03:37:830,-22.98,5.60,-45.30,51.10
12:03:37:841,-23.39,5.37,-45.41,51.36
12:03:37:850,-23.84,5.60,-45.29,51.48
12:03:37:870,-23.16,5.84,-45.60,51.48
12:03:37:880,-23.36,5.65,-45.51,51.46
12:03:37:891,-23.44,5.92,-45.18,51.24
12:03:37:911,-23.46,5.55,-45.08,51.12
12:03:37:920,-23.56,5.45,-45.09,51.17
12:03:37:931,-23.84,5.70,-45.29,51.49
12:03:37:950,-23.59,5.16,-45.52,51.53
12:03:37:961,-23.74,5.53,-44.87,51.07
12:03:37:971,-23.28,5.48,-45.30,51.22
12:03:37:991,-23.28,5.56,-45.73,51.61
12:03:38:000,-24.36,5.36,-45.93,52.27
12:03:38:011,-23.73,5.62,-44.76,50.97
12:03:38:030,-23.44,5.83,-45.08,51.14
12:03:38:040,-24.24,5.38,-44.87,51.28
12:03:38:051,-23.25,5.76,-45.08,51.05
12:03:38:070,-23.05,6.05,-45.40,51.27
12:03:38:080,-23.56,5.62,-45.30,51.37
12:03:38:090,-23.14,6.04,-45.60,51.50
12:03:38:110,-24.03,5.59,-44.97,51.29
12:03:38:121,-23.81,6.06,-45.38,51.61
12:03:38:131,-23.40,5.28,-45.52,51.45
12:03:38:150,-23.64,5.62,-45.08,51.21
12:03:38:160,-23.77,5.33,-45.19,51.33
12:03:38:171,-23.53,5.82,-45.29,51.37
12:03:38:190,-23.24,5.93,-45.49,51.43
12:03:38:201,-23.63,5.81,-45.18,51.31
12:03:38:211,-23.66,5.61,-45.40,51.50
12:03:38:230,-22.73,6.27,-45.27,51.05
12:03:38:240,-23.80,5.04,-45.84,51.89
12:03:38:251,-23.38,5.47,-45.41,51.36
12:03:38:271,-23.46,5.64,-45.40,51.41
12:03:38:281,-23.38,5.38,-45.09,51.07
12:03:38:291,-23.86,5.42,-45.41,51.58
12:03:38:310,-23.90,6.05,-45.38,51.65
12:03:38:321,-23.40,5.10,-45.31,51.25
12:03:38:341,-23.38,5.55,-45.62,51.56
12:03:38:350,-23.13,6.12,-45.38,51.31
12:03:38:360,-23.30,5.03,-44.79,50.74
12:03:38:371,-23.05,5.78,-44.87,50.77
12:03:38:391,-23.33,6.01,-45.38,51.38
12:03:38:400,-23.55,5.81,-45.40,51.47
12:03:38:411,-24.05,5.48,-45.51,51.76
12:03:38:430,-23.38,5.47,-45.41,51.36
12:03:38:440,-23.45,5.65,-45.19,51.22
12:03:38:450,-23.33,6.19,-45.92,51.88
12:03:38:470,-23.69,5.25,-45.62,51.67
12:03:38:481,-24.23,5.47,-45.08,51.47
12:03:38:490,-23.55,5.81,-45.60,51.65
12:03:38:510,-23.74,5.61,-45.19,51.35
12:03:38:520,-23.18,5.40,-44.98,50.89
12:03:38:531,-23.75,5.43,-44.98,51.16
12:03:38:550,-24.07,5.21,-45.30,51.56
12:03:38:560,-23.84,5.77,-45.71,51.88
12:03:38:570,-23.50,6.20,-44.64,50.83
12:03:38:590,-23.09,5.40,-45.30,51.13
12:03:38:601,-23.23,5.94,-45.08,51.06
12:03:38:620,-23.58,5.34,-45.62,51.63
12:03:38:631,-23.38,5.55,-45.62,51.56
12:03:38:641,-23.56,5.62,-45.71,51.73
12:03:38:650,-23.79,5.31,-46.25,52.28
12:03:38:670,-23.86,5.42,-45.30,51.49
12:03:38:680,-23.68,5.33,-45.73,51.77
12:03:38:700,-23.66,5.54,-44.98,51.12
12:03:38:710,-23.95,5.50,-45.19,51.44
12:03:38:720,-23.80,5.89,-44.54,50.85
12:03:38:740,-23.29,5.12,-44.68,50.64
12:03:38:750,-23.99,5.12,-45.52,51.71
12:03:38:760,-23.31,6.30,-45.48,51.50
12:03:38:780,-23.86,5.32,-45.41,51.57
12:03:38:790,-23.19,5.31,-44.98,50.89
12:03:38:800,-23.57,5.44,-45.30,51.35
12:03:38:810,-23.34,5.84,-45.08,51.10
12:03:38:830,-23.51,6.01,-44.75,50.91
12:03:38:840,-24.05,5.49,-45.30,51.58
12:03:38:860,-23.42,6.19,-45.59,51.63
12:03:38:870,-23.53,5.90,-45.18,51.28
12:03:38:880,-23.61,5.08,-45.63,51.62
12:03:38:890,-23.39,5.20,-44.88,50.88
12:03:38:910,-23.88,5.22,-45.52,51.66
12:03:38:921,-24.35,5.27,-45.08,51.51
12:03:38:931,-23.53,5.90,-45.18,51.28
12:03:38:950,-23.45,5.65,-45.19,51.22
12:03:38:961,-23.58,5.17,-45.09,51.15
12:03:38:971,-23.48,5.36,-45.73,51.68
12:03:38:991,-23.34,6.01,-45.60,51.58
12:03:39:000,-23.73,5.80,-45.08,51.27
12:03:39:011,-23.61,6.09,-45.18,51.33
12:03:39:030,-23.64,5.89,-45.71,51.80
12:03:39:040,-23.51,5.00,-45.20,51.19
12:03:39:050,-24.07,5.21,-45.30,51.56
12:03:39:070,-23.13,6.04,-45.29,51.21
12:03:39:081,-23.94,5.59,-45.29,51.53
12:03:39:091,-23.27,5.66,-45.30,51.24
12:03:39:111,-23.56,5.45,-44.98,51.07
12:03:39:121,-23.16,5.77,-45.19,51.10
12:03:39:130,-23.95,5.59,-45.60,51.81
12:03:39:150,-23.63,5.64,-44.44,50.65
12:03:39:160,-23.44,6.00,-45.49,51.53
12:03:39:171,-23.77,5.34,-44.98,51.15
12:03:39:190,-23.14,5.94,-45.49,51.39
12:03:39:200,-23.34,6.01,-45.71,51.68
12:03:39:211,-23.33,6.03,-44.97,51.02
12:03:39:230,-23.35,5.75,-45.19,51.19
12:03:39:241,-23.05,5.80,-44.55,50.50
12:03:39:251,-23.17,5.76,-45.51,51.39
12:03:39:270,-23.06,5.95,-45.60,51.45
12:03:39:281,-23.88,5.49,-46.36,52.43
12:03:39:301,-23.01,6.42,-45.27,51.19
12:03:39:310,-23.33,5.93,-44.97,51.00
12:03:39:320,-23.42,5.93,-44.97,51.05
12:03:39:331,-23.96,5.40,-45.41,51.63
12:03:39:351,-23.38,5.55,-45.51,51.46
12:03:39:361,-23.66,5.61,-45.51,51.59
