# sensor:magnetometer
# Requested Sample Rate: 15 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:46:43:202,-24.45,6.38,-46.58,52.99
11:46:43:282,-24.31,6.36,-46.08,52.49
11:46:43:362,-24.45,6.43,-46.68,53.08
11:46:43:402,-24.19,6.58,-46.92,53.20
11:46:43:482,-24.30,6.55,-46.30,52.70
11:46:43:522,-24.29,6.49,-46.48,52.85
11:46:43:602,-24.23,6.45,-46.90,53.18
11:46:43:682,-24.16,6.62,-46.63,52.93
11:46:43:722,-24.22,6.69,-46.82,53.14
11:46:43:802,-24.42,6.49,-46.58,52.99
11:46:43:882,-24.18,6.43,-46.49,52.80
11:46:43:962,-24.12,6.80,-46.40,52.73
11:46:44:002,-24.30,6.64,-46.63,53.00
11:46:44:082,-24.57,6.50,-46.65,53.13
11:46:44:122,-23.92,7.17,-46.97,53.20
11:46:44:202,-24.19,6.69,-46.15,52.54
11:46:44:282,-23.92,6.65,-46.53,52.74
11:46:44:362,-24.18,6.25,-46.79,53.04
11:46:44:402,-24.40,6.38,-46.74,53.11
11:46:44:482,-24.46,6.32,-46.62,53.02
11:46:44:562,-23.99,6.36,-46.08,52.34
11:46:44:602,-24.06,6.77,-46.81,53.07
11:46:44:682,-24.34,6.54,-46.46,52.85
11:46:44:762,-24.16,6.04,-46.84,53.04
11:46:44:802,-24.40,6.91,-46.90,53.31
11:46:44:882,-24.44,6.60,-46.48,52.93
11:46:44:922,-23.95,6.53,-46.70,52.89
11:46:45:002,-24.53,6.37,-46.71,53.15
11:46:45:082,-24.46,6.58,-46.62,53.05
11:46:45:122,-24.27,6.76,-46.41,52.80
11:46:45:202,-24.40,5.89,-46.84,53.14
11:46:45:282,-24.28,6.26,-46.09,52.47
11:46:45:322,-24.18,6.56,-46.76,53.05
11:46:45:402,-24.35,6.36,-46.81,53.15
11:46:45:482,-24.29,6.25,-46.51,52.84
11:46:45:522,-23.96,6.30,-47.03,53.16
11:46:45:602,-24.34,6.77,-46.81,53.19
11:46:45:682,-24.27,6.62,-46.53,52.89
11:46:45:722,-24.41,6.64,-46.64,53.06
11:46:45:802,-24.30,6.38,-46.77,53.10
11:46:45:882,-24.47,6.12,-46.32,52.75
11:46:45:922,-24.00,6.67,-46.31,52.58
11:46:46:002,-24.27,6.21,-46.56,52.87
11:46:46:082,-24.46,5.99,-46.32,52.73
11:46:46:122,-24.46,6.64,-46.75,53.18
11:46:46:202,-24.17,6.51,-46.43,52.75
11:46:46:282,-24.35,6.55,-46.36,52.77
11:46:46:322,-24.09,6.55,-46.08,52.41
11:46:46:402,-24.23,6.12,-46.91,53.15
11:46:46:482,-24.68,6.43,-46.90,53.38
11:46:46:522,-23.78,6.54,-46.64,52.76
11:46:46:602,-24.36,6.49,-46.86,53.21
11:46:46:682,-24.41,6.45,-46.46,52.88
11:46:46:763,-24.46,6.67,-46.60,53.05
11:46:46:802,-24.29,6.59,-46.47,52.85
11:46:46:882,-24.39,6.28,-46.73,53.08
11:46:46:962,-24.01,6.61,-46.18,52.46
11:46:47:002,-23.80,6.70,-46.46,52.63
11:46:47:082,-24.31,6.47,-46.81,53.14
11:46:47:122,-24.31,6.65,-46.88,53.23
11:46:47:202,-24.35,6.44,-46.29,52.70
11:46:47:282,-24.09,6.59,-46.23,52.54
11:46:47:362,-24.42,6.37,-46.42,52.84
11:46:47:402,-24.34,6.60,-46.29,52.71
11:46:47:482,-24.40,6.38,-46.93,53.28
11:46:47:522,-24.11,6.26,-46.91,53.11
11:46:47:602,-24.62,6.01,-46.87,53.29
11:46:47:682,-24.33,6.60,-46.68,53.05
11:46:47:722,-24.18,6.61,-46.71,53.02
11:46:47:802,-24.41,6.34,-46.62,53.00
11:46:47:882,-24.20,6.04,-46.93,53.15
11:46:47:922,-24.22,6.27,-46.79,53.05
11:46:48:002,-24.67,6.42,-46.53,53.05
11:46:48:082,-23.97,6.73,-46.96,53.15
11:46:48:122,-24.28,6.62,-46.57,52.93
11:46:48:202,-24.09,6.44,-45.82,52.17
11:46:48:282,-24.64,6.11,-46.49,52.98
11:46:48:322,-24.47,6.50,-46.71,53.14
11:46:48:402,-24.07,6.60,-46.51,52.78
11:46:48:482,-24.28,5.90,-47.09,53.31
11:46:48:522,-24.14,6.56,-46.51,52.81
11:46:48:602,-24.42,6.39,-46.77,53.15
11:46:48:682,-24.03,6.39,-46.52,52.75
