# sensor:magnetometer
# Requested Sample Rate: 40 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:54:41:426,-23.31,6.30,-45.59,51.59
11:54:41:446,-23.09,6.59,-45.69,51.62
11:54:41:466,-23.85,5.84,-46.56,52.63
11:54:41:506,-23.90,6.32,-45.91,52.14
11:54:41:526,-24.19,6.01,-45.49,51.88
11:54:41:546,-23.58,6.54,-45.58,51.73
11:54:41:566,-24.02,5.86,-45.38,51.68
11:54:41:606,-24.00,6.21,-45.80,52.08
11:54:41:626,-23.75,6.80,-45.68,51.93
11:54:41:646,-23.67,6.71,-45.79,51.98
11:54:41:666,-23.89,6.23,-45.48,51.75
11:54:41:706,-23.88,6.50,-45.90,52.14
11:54:41:726,-23.40,6.28,-45.27,51.35
11:54:41:746,-23.84,5.95,-46.13,52.26
11:54:41:766,-23.50,6.44,-46.01,52.06
11:54:41:806,-23.41,6.45,-46.12,52.12
11:54:41:826,-23.74,5.95,-46.24,52.32
11:54:41:846,-23.72,6.06,-45.49,51.66
11:54:41:866,-23.72,6.23,-46.23,52.33
11:54:41:906,-24.13,5.75,-45.60,51.91
11:54:41:926,-23.90,6.40,-46.23,52.43
11:54:41:946,-23.84,5.69,-45.51,51.69
11:54:41:966,-24.38,6.27,-45.80,52.26
11:54:42:006,-24.11,5.94,-45.27,51.64
11:54:42:026,-23.62,6.16,-45.81,51.91
11:54:42:046,-24.09,6.21,-45.80,52.12
11:54:42:066,-24.22,5.83,-45.70,52.05
11:54:42:106,-23.38,5.81,-46.67,52.51
11:54:42:126,-23.45,5.90,-46.14,52.09
11:54:42:146,-23.85,6.87,-45.90,52.18
11:54:42:166,-24.09,6.11,-45.70,52.02
11:54:42:206,-24.14,5.55,-45.93,52.19
11:54:42:226,-24.23,5.65,-45.60,51.95
11:54:42:246,-24.00,6.22,-45.70,51.99
11:54:42:266,-23.72,6.15,-45.70,51.85
11:54:42:306,-23.75,5.70,-45.71,51.83
11:54:42:326,-24.14,5.82,-46.45,52.67
11:54:42:346,-23.91,6.05,-45.49,51.75
11:54:42:366,-24.33,5.81,-45.92,52.29
11:54:42:406,-23.53,6.08,-46.13,52.14
11:54:42:426,-23.50,6.36,-45.59,51.68
11:54:42:446,-23.72,6.32,-46.65,52.72
11:54:42:466,-24.19,6.19,-45.91,52.26
11:54:42:506,-23.67,6.62,-45.47,51.69
11:54:42:526,-23.70,6.25,-45.70,51.86
11:54:42:546,-23.40,6.47,-45.80,51.84
11:54:42:566,-23.45,5.82,-45.51,51.52
11:54:42:606,-24.22,5.92,-45.81,52.15
11:54:42:626,-23.84,5.86,-46.24,52.35
11:54:42:646,-23.72,6.06,-45.59,51.75
11:54:42:666,-23.70,6.16,-45.59,51.75
11:54:42:706,-23.75,5.78,-46.03,52.12
11:54:42:726,-23.66,6.72,-45.15,51.42
11:54:42:746,-23.47,6.73,-45.69,51.81
11:54:42:766,-23.90,6.22,-45.91,52.13
11:54:42:806,-23.85,5.42,-45.19,51.38
11:54:42:826,-24.33,5.89,-46.24,52.58
11:54:42:846,-23.79,6.25,-45.48,51.71
11:54:42:866,-24.01,6.12,-45.91,52.17
11:54:42:906,-24.00,6.14,-45.27,51.61
11:54:42:926,-23.52,6.17,-45.59,51.67
11:54:42:946,-23.83,6.97,-45.47,51.80
11:54:42:966,-24.02,5.77,-45.18,51.49
11:54:43:006,-23.91,6.04,-45.81,52.03
11:54:43:026,-23.79,6.33,-45.69,51.90
11:54:43:046,-23.59,6.61,-46.21,52.31
11:54:43:066,-23.99,6.22,-45.38,51.71
11:54:43:106,-23.80,6.32,-46.02,52.19
11:54:43:126,-24.38,6.26,-45.91,52.35
11:54:43:146,-23.86,6.60,-45.26,51.59
11:54:43:166,-23.58,6.45,-45.37,51.54
11:54:43:206,-24.06,5.65,-46.57,52.72
11:54:43:226,-23.73,6.15,-46.23,52.32
11:54:43:246,-23.61,6.26,-45.91,52.00
11:54:43:266,-23.46,6.92,-45.68,51.81
11:54:43:306,-23.44,6.00,-45.49,51.53
11:54:43:326,-24.07,6.65,-46.32,52.63
11:54:43:346,-23.89,6.40,-45.91,52.15
11:54:43:366,-23.36,5.82,-46.25,52.14
11:54:43:406,-23.40,6.28,-45.27,51.35
11:54:43:426,-23.72,6.23,-46.13,52.24
11:54:43:446,-23.72,5.98,-45.49,51.65
11:54:43:466,-24.07,6.48,-45.69,52.05
11:54:43:506,-23.31,6.38,-45.80,51.79
11:54:43:526,-23.86,5.76,-46.56,52.63
11:54:43:546,-23.84,5.77,-45.92,52.06
11:54:43:566,-23.81,6.06,-45.38,51.61
11:54:43:606,-23.45,5.90,-45.92,51.90
11:54:43:626,-23.83,5.95,-45.92,52.08
11:54:43:646,-24.17,6.38,-45.58,51.98
11:54:43:666,-23.41,6.37,-46.02,52.02
11:54:43:706,-24.02,6.03,-46.02,52.26
11:54:43:726,-23.45,5.73,-45.40,51.42
11:54:43:746,-23.61,6.17,-45.27,51.43
11:54:43:766,-23.67,5.61,-45.82,51.88
11:54:43:806,-23.62,6.16,-45.70,51.81
11:54:43:826,-24.03,5.75,-45.92,52.15
11:54:43:846,-23.44,6.09,-46.13,52.10
11:54:43:866,-23.81,6.05,-45.59,51.79
11:54:43:906,-23.83,6.05,-45.92,52.09
11:54:43:926,-23.66,6.98,-45.99,52.19
11:54:43:946,-23.90,6.31,-46.23,52.42
11:54:43:966,-23.68,6.78,-46.64,52.75
11:54:44:006,-23.84,5.87,-45.81,51.97
11:54:44:026,-23.35,6.93,-45.36,51.49
11:54:44:046,-23.73,5.97,-45.70,51.84
11:54:44:066,-23.41,6.54,-46.32,52.31
11:54:44:106,-23.74,5.78,-45.82,51.93
11:54:44:126,-23.63,6.15,-46.34,52.38
11:54:44:146,-23.69,6.34,-45.70,51.87
11:54:44:166,-24.16,6.65,-46.01,52.39
11:54:44:206,-24.02,5.76,-45.49,51.77
11:54:44:226,-23.03,6.22,-45.92,51.75
