# sensor:magnetometer
# Requested Sample Rate: 100 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:06:21:034,-23.67,5.26,-44.88,51.01
12:06:21:044,-24.16,5.21,-44.77,51.14
12:06:21:054,-23.80,4.78,-44.99,51.13
12:06:21:064,-23.38,5.47,-45.19,51.17
12:06:21:074,-23.96,5.15,-44.46,50.76
12:06:21:084,-23.79,4.88,-44.79,50.95
12:06:21:094,-23.68,5.08,-44.88,51.00
12:06:21:104,-23.67,5.26,-44.98,51.10
12:06:21:114,-24.09,4.76,-44.88,51.16
12:06:21:124,-23.41,4.83,-44.58,50.58
12:06:21:134,-23.89,5.05,-45.09,51.28
12:06:21:144,-22.98,5.59,-45.73,51.48
12:06:21:154,-24.16,5.12,-44.77,51.13
12:06:21:164,-23.78,5.06,-44.77,50.95
12:06:21:174,-23.83,4.60,-45.10,51.22
12:06:21:184,-23.36,5.56,-44.98,50.99
12:06:21:194,-23.72,4.88,-45.53,51.57
12:06:21:204,-23.55,5.72,-45.40,51.46
12:06:21:214,-23.78,5.06,-44.77,50.95
12:06:21:224,-23.50,5.09,-45.09,51.10
12:06:21:234,-23.67,4.92,-43.72,49.96
12:06:21:244,-23.70,4.97,-45.42,51.47
12:06:21:254,-23.28,5.39,-44.87,50.84
12:06:21:264,-23.68,5.08,-44.77,50.90
12:06:21:274,-23.80,4.87,-45.20,51.32
12:06:21:284,-24.11,4.57,-44.90,51.16
12:06:21:294,-23.91,4.68,-45.10,51.26
12:06:21:304,-24.28,4.92,-44.99,51.36
12:06:21:314,-23.58,5.17,-45.09,51.15
12:06:21:324,-24.03,4.39,-45.23,51.40
12:06:21:334,-23.31,5.01,-45.10,51.02
12:06:21:344,-23.85,5.43,-44.76,51.01
12:06:21:354,-23.90,4.95,-45.42,51.56
12:06:21:364,-23.34,5.84,-44.97,51.00
12:06:21:374,-23.67,5.34,-44.98,51.11
12:06:21:384,-23.90,4.77,-44.99,51.17
12:06:21:394,-23.77,5.26,-44.66,50.87
12:06:21:404,-23.16,5.67,-44.98,50.91
12:06:21:414,-23.53,4.64,-44.90,50.90
12:06:21:424,-23.39,5.11,-44.46,50.49
12:06:21:434,-23.72,4.79,-45.10,51.18
12:06:21:444,-23.85,4.49,-45.64,51.69
12:06:21:454,-24.22,4.55,-45.53,51.77
12:06:21:464,-23.23,4.93,-45.42,51.25
12:06:21:474,-23.47,5.11,-44.25,50.35
12:06:21:484,-24.46,4.90,-44.46,50.98
12:06:21:494,-23.63,4.71,-45.21,51.23
12:06:21:504,-23.13,6.05,-44.97,50.93
12:06:21:514,-23.63,4.54,-44.80,50.85
12:06:21:524,-23.62,4.72,-44.90,50.95
12:06:21:534,-24.09,4.76,-44.99,51.26
12:06:21:544,-22.85,5.98,-45.18,50.98
12:06:21:554,-23.36,5.48,-44.76,50.79
12:06:21:564,-23.59,5.16,-45.41,51.43
12:06:21:574,-23.06,5.53,-44.13,50.09
12:06:21:584,-23.90,5.04,-45.84,51.94
12:06:21:594,-23.70,4.89,-44.88,50.99
12:06:21:604,-23.80,4.78,-44.99,51.13
12:06:21:614,-23.80,4.78,-44.99,51.13
12:06:21:624,-23.42,4.83,-44.99,50.96
12:06:21:634,-23.74,5.53,-44.98,51.16
12:06:21:644,-24.05,5.31,-44.87,51.18
12:06:21:654,-23.50,5.17,-45.31,51.30
12:06:21:664,-23.46,5.47,-44.87,50.93
12:06:21:674,-23.72,4.70,-45.10,51.17
12:06:21:684,-23.78,5.16,-44.77,50.96
12:06:21:694,-23.33,4.83,-45.32,51.20
12:06:21:704,-23.69,4.99,-44.77,50.90
