# sensor:magnetometer
# Requested Sample Rate: 10 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
21:43:05:386,28.66,-3.29,-30.70,42.12
21:43:05:546,28.62,-3.28,-30.72,42.11
21:43:05:626,28.91,-3.39,-31.11,42.61
21:43:05:706,28.66,-3.37,-30.96,42.32
21:43:05:786,28.78,-3.34,-31.02,42.45
21:43:05:946,28.67,-3.29,-30.88,42.26
21:43:06:026,28.55,-3.36,-30.95,42.24
21:43:06:106,28.69,-3.59,-30.82,42.26
21:43:06:186,28.62,-3.18,-30.68,42.08
21:43:06:346,28.85,-3.33,-30.70,42.26
21:43:06:426,28.96,-3.39,-30.83,42.44
21:43:06:506,28.85,-3.31,-30.77,42.31
21:43:06:586,28.71,-3.34,-31.05,42.42
21:43:06:746,28.41,-3.29,-30.98,42.16
21:43:06:826,28.89,-3.25,-30.91,42.44
21:43:06:906,28.82,-3.28,-31.32,42.68
21:43:06:986,28.79,-3.10,-30.93,42.37
21:43:07:146,28.78,-3.26,-30.73,42.23
21:43:07:226,28.66,-3.23,-31.06,42.39
21:43:07:306,28.85,-3.50,-30.84,42.38
21:43:07:386,28.73,-3.42,-31.10,42.48
21:43:07:546,28.91,-3.29,-30.62,42.24
21:43:07:626,28.60,-3.20,-30.84,42.18
21:43:07:706,28.96,-2.93,-31.05,42.56
21:43:07:786,28.68,-3.31,-30.76,42.18
21:43:07:946,28.79,-3.22,-30.63,42.16
21:43:08:026,28.72,-3.49,-30.77,42.23
21:43:08:106,28.87,-3.16,-30.91,42.41
21:43:08:186,28.54,-3.48,-31.16,42.39
21:43:08:346,28.39,-3.22,-30.89,42.08
21:43:08:426,28.66,-3.07,-30.70,42.11
21:43:08:506,28.50,-3.60,-30.71,42.05
21:43:08:586,28.50,-3.48,-30.89,42.17
21:43:08:746,28.60,-3.18,-31.21,42.45
21:43:08:826,28.67,-3.18,-31.13,42.44
21:43:08:906,28.40,-3.44,-30.70,41.96
21:43:08:986,28.73,-3.45,-31.04,42.43
21:43:09:146,28.65,-3.37,-30.76,42.16
21:43:09:226,28.68,-3.34,-30.91,42.30
21:43:09:306,28.72,-3.66,-31.00,42.42
21:43:09:386,28.55,-3.37,-30.57,41.96
21:43:09:546,28.67,-3.43,-30.94,42.32
21:43:09:626,28.93,-3.22,-30.85,42.42
21:43:09:706,28.88,-3.45,-30.73,42.31
21:43:09:786,28.69,-3.42,-31.00,42.38
21:43:09:946,28.72,-3.45,-31.01,42.41
21:43:10:026,28.65,-3.09,-31.10,42.39
21:43:10:106,28.78,-3.65,-31.09,42.52
21:43:10:186,28.91,-3.33,-30.70,42.30
21:43:10:346,28.57,-3.22,-30.70,42.06
21:43:10:426,28.67,-3.51,-30.98,42.35
21:43:10:506,28.72,-3.36,-30.85,42.28
21:43:10:586,28.66,-3.32,-30.74,42.16
21:43:10:746,28.50,-3.42,-30.68,42.02
21:43:10:826,28.62,-3.43,-31.07,42.38
21:43:10:906,28.67,-3.37,-30.83,42.23
21:43:10:986,28.57,-3.39,-30.68,42.06
21:43:11:146,28.74,-3.15,-30.83,42.27
21:43:11:226,28.73,-3.12,-31.01,42.39
21:43:11:306,28.98,-3.28,-30.89,42.48
21:43:11:386,28.90,-3.50,-30.74,42.34
21:43:11:546,28.79,-3.71,-31.02,42.49
21:43:11:626,28.55,-3.32,-31.04,42.30
21:43:11:706,28.36,-3.66,-31.10,42.25
21:43:11:786,28.93,-3.34,-31.04,42.56
21:43:11:946,28.43,-3.50,-31.11,42.29
21:43:12:026,28.63,-3.27,-31.04,42.35
21:43:12:106,28.73,-3.16,-31.09,42.45
21:43:12:186,28.77,-3.18,-30.52,42.06
21:43:12:346,28.94,-3.42,-30.99,42.54
21:43:12:426,28.60,-3.12,-31.02,42.31
21:43:12:506,28.49,-3.25,-31.18,42.36
21:43:12:586,28.71,-3.16,-30.98,42.35
21:43:12:746,28.65,-3.22,-30.94,42.29
21:43:12:826,28.47,-3.29,-30.85,42.11
21:43:12:906,28.93,-3.15,-31.33,42.76
21:43:12:986,29.04,-3.33,-31.00,42.61
21:43:13:146,29.04,-3.25,-30.84,42.48
21:43:13:226,28.67,-3.17,-30.78,42.18
21:43:13:306,29.07,-3.12,-31.10,42.69
21:43:13:386,28.66,-3.53,-30.79,42.21
21:43:13:546,28.67,-3.22,-30.91,42.29
21:43:13:626,28.67,-3.36,-30.73,42.16
21:43:13:706,28.60,-3.25,-30.84,42.18
21:43:13:786,28.83,-3.27,-31.02,42.48
21:43:13:946,28.63,-3.16,-30.88,42.23
21:43:14:026,28.80,-3.40,-30.78,42.29
21:43:14:106,28.99,-3.11,-30.65,42.30
21:43:14:186,28.93,-3.07,-30.54,42.17
21:43:14:346,28.54,-3.32,-30.85,42.16
21:43:14:426,28.38,-3.32,-30.93,42.10
21:43:14:506,28.68,-3.16,-30.99,42.34
21:43:14:586,28.83,-3.14,-30.87,42.35
21:43:14:746,28.67,-3.32,-30.71,42.14
21:43:14:826,28.67,-3.25,-30.96,42.32
21:43:14:906,28.72,-3.44,-31.06,42.44
21:43:14:986,28.71,-3.49,-30.83,42.27
21:43:15:146,28.73,-3.56,-30.51,42.06
21:43:15:226,28.88,-3.29,-30.52,42.15
21:43:15:306,28.67,-3.06,-30.72,42.13
21:43:15:386,28.62,-3.31,-30.59,42.02
21:43:15:546,28.67,-3.25,-30.98,42.33
21:43:15:626,28.89,-2.96,-31.17,42.60
21:43:15:706,28.72,-3.45,-30.73,42.20
21:43:15:786,28.85,-3.26,-30.65,42.22
21:43:15:946,28.58,-3.29,-30.49,41.92
